Category_ID,Category_Name,Parent_Category_ID,Description,Created_Date,Last_Updated,Active_Status,Image_URL,Meta_Tags,SEO_Description
1,Electronics,,Products related to electronic devices and gadgets,2024-01-01,2024-01-15,Active,http://example.com/images/electronics.jpg,Electronics,Top electronic gadgets and devices
2,Home Appliances,,Appliances used in the home for various tasks,2024-01-02,2024-01-16,Active,http://example.com/images/home_appliances.jpg,Home Appliances,Best home appliances for everyday use
3,Personal Care,,Products designed for personal health and grooming,2024-01-03,2024-01-17,Active,http://example.com/images/personal_care.jpg,Personal Care,Personal care products for health and grooming
4,Kitchen Appliances,2,Appliances used specifically in the kitchen,2024-01-04,2024-01-18,Active,http://example.com/images/kitchen_appliances.jpg,Kitchen Appliances,Essential kitchen appliances
5,Furniture,,Furniture items for home and office,2024-01-05,2024-01-19,Active,http://example.com/images/furniture.jpg,Furniture,Quality furniture for home and office
6,Outdoor Equipment,,Equipment designed for outdoor use,2024-01-06,2024-01-20,Active,http://example.com/images/outdoor_equipment.jpg,Outdoor Equipment,Durable outdoor equipment
7,Tools,,Various tools for household and professional use,2024-01-07,2024-01-21,Active,http://example.com/images/tools.jpg,Tools,Tools for all your needs
8,Office Supplies,,Products used in an office environment,2024-01-08,2024-01-22,Active,http://example.com/images/office_supplies.jpg,Office Supplies,Office supplies for productivity
9,Entertainment,,Products designed for entertainment purposes,2024-01-09,2024-01-23,Active,http://example.com/images/entertainment.jpg,Entertainment,Top entertainment products
10,Lighting,,Various lighting solutions for home and office,2024-01-10,2024-01-24,Active,http://example.com/images/lighting.jpg,Lighting,Innovative lighting solutions
11,Security,,Products related to home and personal security,2024-01-11,2024-01-25,Active,http://example.com/images/security.jpg,Security,Home and personal security products
12,Fitness,,Products designed for fitness and exercise,2024-01-12,2024-01-26,Active,http://example.com/images/fitness.jpg,Fitness,Fitness products for a healthy lifestyle
13,Automotive,,Products related to cars and vehicles,2024-01-13,2024-01-27,Active,http://example.com/images/automotive.jpg,Automotive,Automotive products for your vehicle
14,Gardening,,Products used for gardening and plant care,2024-01-14,2024-01-28,Active,http://example.com/images/gardening.jpg,Gardening,Gardening tools and accessories
15,Cleaning,,Products used for cleaning tasks,2024-01-15,2024-01-29,Active,http://example.com/images/cleaning.jpg,Cleaning,Cleaning products for your home
16,Health,,Products related to health and wellness,2024-01-16,2024-01-30,Active,http://example.com/images/health.jpg,Health,Health and wellness products
17,Toys,,Products designed for children's entertainment,2024-01-17,2024-01-31,Active,http://example.com/images/toys.jpg,Toys,Fun and educational toys
18,Pet Supplies,,Products for pet care,2024-01-18,2024-02-01,Active,http://example.com/images/pet_supplies.jpg,Pet Supplies,Essential pet supplies
19,Travel,,Products designed for travel and luggage,2024-01-19,2024-02-02,Active,http://example.com/images/travel.jpg,Travel,Travel essentials and accessories
20,Baby Products,,Products for baby care and parenting,2024-01-20,2024-02-03,Active,http://example.com/images/baby_products.jpg,Baby Products,Baby care products
21,Smart Home,1,Products designed for smart home automation,2024-01-21,2024-02-04,Active,http://example.com/images/smart_home.jpg,Smart Home,Smart home automation products
